Date,KO,PEP
2023-01-03,56.759891510009766,159.38230895996094
2023-01-04,56.732845306396484,158.99142456054688
2023-01-05,56.08364486694336,157.3301544189453
2023-01-06,57.165645599365234,160.88363647460938
2023-01-09,56.45332336425781,159.3112030029297
2023-01-10,56.02052688598633,157.9964599609375
2023-01-11,55.91232681274414,158.17408752441406
2023-01-12,55.19099044799805,156.15750122070312
2023-01-13,55.389366149902344,155.6777801513672
2023-01-17,55.614776611328125,156.40625
2023-01-18,53.92866516113281,152.46188354492188
2023-01-19,53.84751892089844,150.69400024414062
2023-01-20,54.17211151123047,150.91615295410156
2023-01-23,54.3073616027832,150.240966796875
2023-01-24,54.59589385986328,151.63568115234375
2023-01-25,54.93852233886719,152.73728942871094
2023-01-26,54.83032989501953,151.21817016601562
2023-01-27,54.54179763793945,150.68511962890625
2023-01-30,54.67704772949219,150.56077575683594
2023-01-31,55.29018020629883,151.9288787841797
2023-02-01,55.2991943359375,152.4085693359375
2023-02-02,54.35244369506836,150.99609375
2023-02-03,53.946693420410156,150.240966796875
2023-02-06,54.253257751464844,152.63955688476562
2023-02-07,54.163089752197266,152.4085693359375
2023-02-08,53.84751892089844,152.05322265625
2023-02-09,53.757347106933594,153.4923858642578
2023-02-10,53.757347106933594,156.53062438964844
2023-02-13,54.64097595214844,157.92535400390625
2023-02-14,53.73029327392578,156.1486053466797
2023-02-15,53.73029327392578,156.36180114746094
2023-02-16,53.39668273925781,155.91766357421875
2023-02-17,54.20817565917969,156.6016845703125
2023-02-21,53.919647216796875,156.51284790039062
2023-02-22,54.081947326660156,156.4595184326172
2023-02-23,54.18112564086914,156.6283416748047
2023-02-24,53.955711364746094,156.31739807128906
2023-02-27,53.93768310546875,156.2729949951172
2023-02-28,53.65815734863281,154.1586456298828
2023-03-01,53.07208251953125,152.20425415039062
2023-03-02,53.84751892089844,155.01258850097656
2023-03-03,53.59504318237305,154.86053466796875
2023-03-06,54.4245719909668,155.17356872558594
2023-03-07,54.1089973449707,154.40440368652344
2023-03-08,54.13605499267578,154.82476806640625
2023-03-09,53.61308288574219,153.65313720703125
2023-03-10,53.387664794921875,153.8588409423828
2023-03-13,53.92866516113281,155.36141967773438
2023-03-14,54.12702941894531,155.20037841796875
2023-03-15,54.48769760131836,157.97296142578125
2023-03-16,54.78752899169922,157.86563110351562
2023-03-17,54.53312301635742,156.6314239501953
